sample_id,class,module,fault_type,freq_proxy,mean_offset,global_offset,max_abs_dev,p95_abs_dev,p99_abs_dev,within_0p4_ratio,inside_env_frac,outside_env_frac,inside_expanded_env_frac,inside_quantile_frac,hf_noise_std,amp_min,amp_max
sim_00000,amp_error,低频段前置低通滤波器,lpf_shift,0.0544111591604487,-4.1159487742200925e-17,-0.0021848959771828547,0.14034208562359218,0.0981348848444737,0.1330574516329254,1.0,0.9573170731707317,0.04268292682926833,1.0,0.1951219512195122,0.055114552469243655,-10.12457514297219,-9.77714751648893
sim_00001,amp_error,本振混频组件,,0.12071558479654872,-0.017270601995603013,0.0,0.22807171566758555,0.1599437535682169,0.22165977406637244,1.0,0.8219512195121951,0.17804878048780493,0.9524390243902439,0.16585365853658537,0.04632964601036655,-10.160571715667587,-9.738820608879587
sim_00002,amp_error,低频段前置低通滤波器,lpf_shift,0.0022576267205862153,1.0181557494123387e-16,0.015445368808385318,0.1139492284145458,0.1030219019845087,0.11224487912300611,1.0,1.0,0.0,1.0,0.2731707317073171,0.007041552071914357,-10.111372632914017,-9.816574478191006
sim_00003,amp_error,低频段第一混频器,mixer_ripple,0.12998420807686256,5.415722071342227e-17,-0.0007863668759231501,0.10908221577244959,0.07420386574508972,0.08754456243540257,1.0,1.0,0.0,1.0,0.27682926829268295,0.011596177354475063,-10.101180564490827,-9.786469603355592
sim_00004,amp_error,低频段第一混频器,,0.16590618241758176,0.0016367304978902612,0.0,0.1496710466947846,0.1397208860997737,0.14065604727070857,1.0,0.8695121951219512,0.13048780487804879,1.0,0.0975609756097561,0.025263417859143298,-10.199671046694784,-9.756026723888658
sim_00005,amp_error,电源模块,,0.06740703390743923,0.0019046314198268178,0.0,0.17105590771894263,0.11795341038331006,0.1489779535749417,1.0,0.8353658536585366,0.16463414634146345,0.9951219512195122,0.22926829268292684,0.043091088174317026,-10.11892913012575,-9.720769485254156
sim_00006,amp_error,低频段前置低通滤波器,lpf_shift,0.007250256199720532,2.166288828536891e-17,-0.00042000230650796055,0.06847092440291824,0.04492008880209805,0.06491410532151903,1.0,1.0,0.0,1.0,0.3780487804878049,0.019512782320553996,-10.08462335738691,-9.832305816374136
sim_00007,amp_error,低频段第一混频器,mixer_ripple,0.10207338238852537,1.7330310628295126e-17,0.0006477892878171687,0.14714767021308361,0.08626940486373798,0.0970155526204468,1.0,0.9963414634146341,0.003658536585365857,1.0,0.3048780487804878,0.0200818420958371,-10.117147670213082,-9.782344940347508
sim_00008,amp_error,低频段第一混频器,mixer_ripple,0.029631861630941055,-2.166288828536891e-18,-8.732035784930758e-05,0.06832968585489674,0.05207079841597738,0.05609314870180057,1.0,1.0,0.0,1.0,0.4768292682926829,0.008407707842993488,-10.077491426858595,-9.82383817896189
sim_00009,amp_error,低频段前置低通滤波器,lpf_shift,0.01423533715592392,-8.665155314147563e-18,-0.0006857701560551988,0.0996389586433537,0.0616314303895674,0.08788213177632695,1.0,1.0,0.0,1.0,0.2524390243902439,0.02644791249083094,-10.109193870752277,-9.789175610898214
